Date;Total Cases;Deaths;Recovered;R2 Values Exponential Fitting Deaths;New Deaths;New Cases;Total Actual Positive
24/2/2020;1;0;1;0;0;0;0
25/2/2020;1;0;1;0;0;0;0
26/02/20;1;0;1;0;0;0;0
27/02/20;1;0;1;0;0;0;0
28/02/20;1;0;1;0;0;0;0
29/02/20;1;0;1;0;0;0;0
01/03/20;2;0;1;0;0;1;1
02/03/20;8;0;1;0;0;6;7
03/03/20;13;0;1;0;0;5;12
04/03/20;23;0;1;0;0;10;22
05/03/20;50;0;1;0;0;27;49
06/03/20;109;0;1;0;0;59;108
07/03/20;169;0;1;0;0;60;168
08/03/20;200;0;1;0;0;31;199
09/03/20;239;0;1;0;0;39;238
10/03/20;267;0;1;0;0;28;266
11/03/20;314;3;1;0;3;47;310
12/03/20;314;3;1;0;0;0;310
13/03/20;559;3;1;0;0;245;555
14/03/20;689;4;1;0,6;1;130;684
15/03/20;886;4;1;0,75;0;197;881
16/03/20;1058;5;1;0,8532;1;172;1052
17/03/20;1243;10;1;0,7677;5;185;1232
18/03/20;1486;14;31;0,8287;4;243;1441
19/03/20;1795;21;31;0,8706;7;309;1743
20/03/20;2257;37;204;0,8917;16;462;2016
21/03/20;2815;67;263;0,9051;30;558;2485
22/03/20;3401;75;340;0,9267;8;586;2986
23/03/20;3743;88;401;0,9418;13;342;3254
24/3/2020;4269;122;461;0,9531;34;526;3686
25/3/2020;4937;178;547;0,9618;56;668;4212
26/3/2020;6235;220;675;0,9679;42;1298;5340
27/3/2020;7284;289;858;0,9726;69;1049;6137
28/3/2020;9134;353;1063;0,9756;64;1850;7718
29/3/2020;10836;431;1359;0,9774;78;1702;9046
30/3/2020;11899;513;1527;0,9782;82;1063;9859
31/3/2020;12775;705;1696;0,9796;192;876;10374
1/4/2020;13964;828;2132;0,9801;123;1189;11004
2/4/2020;15348;1011;2495;0,9803;183;1384;11842
3/4/2020;16770;1143;2872;0,9796;132;1422;12755
4/4/2020;18431;1283;3247;0,9782;140;1661;13901
5/4/2020;19691;1447;3751;0,9762;164;1260;14493
6/4/2020;20814;1632;3986;0,9739;185;1123;15196
7/4/2020;22194;2035;4157;0,9725;403;1380;16002
8/4/2020;23403;2240;4681;0,9706;205;1209;16482
9/4/2020;24983;2523;5164;0,9685;283;1580;17296
10/4/2020;26667;3019;5568;0,9669;496;1684;18080
11/4/2020;28018;3346;5986;0,9651;327;1351;18686
12/4/2020;29647;3600;6463;0,9628;254;1629;19584
13/4/2020;30589;3903;6707;0,9602;303;942;19979
14/4/2020;31119;4157;6868;0,9572;254;530;20094
15/4/2020;33573;4440;7107;0,9539;283;2454;22026
16/4/2020;34809;4857;7562;0,9508;417;1236;22390
17/4/2020;36138;5163;7961;0,9474;306;1329;23014
18/4/2020;37183;5453;8348;0,9438;290;1045;23382
19/4/2020;38496;5683;8757;0,9400;230;1313;24056
20/4/2020;39983;5828;8895;0,9357;145;1487;25260
21/4/2020;40956;5998;9002;0,9312;170;973;25956
22/4/2020;41889;6262;9433;0,9266;264;933;26194
23/4/2020;42797;6490;9800;0,9219;228;908;26507
24/4/2020;44293;6679;10122;0,9171;189;1496;27492
25/4/2020;45325;6917;10417;;238;1032;27991
26/4/2020;46134;7094;10785;;177;809;28255
27/4/2020;46687;7207;10878;;113;553;28602
28/4/2020;47334;7331;10943;;124;647;29060
29/4/2020;47859;7501;11283;;170;525;29075
30/4/2020;48519;7594;11576;;93;660;29349
1/5/2020;49032;7703;11892;;109;513;29437
2/5/2020;49517;7765;12211;;62;485;29541
3/5/2020;49906;7844;12309;;79;389;29753
4/5/2020;50267;7924;12378;;80;361;29965
5/5/2020;50509;8016;12441;;92;242;30052
6/5/2020;50781;8339;12731;;323;272;29711
