Data;Ricoverati Con Sintomi;Terapia Intensiva;Totale Ospedalizzati;Isolamento Domiciliare;Totale Attualmente Positivi;Variazione Totale Attualmente Positivi;Dimessi Guariti;Deceduti;Totale Casi;Tamponi
24/02/20;101;26;127;94;221;221;1;7;229;4324
25/02/20;114;35;150;162;311;90;1;10;322;8623
26/02/20;128;36;164;221;385;74;3;12;400;9587
27/02/20;248;56;304;284;588;203;45;17;650;12014
28/02/20;345;64;409;412;821;233;46;21;888;15695
29/02/20;401;105;506;543;1049;228;50;29;1128;18661
01/03/20;639;140;779;798;1577;528;83;34;1694;21127
02/03/20;742;166;908;927;1835;258;149;52;2036;23345
03/03/20;1034;229;1263;1000;2263;428;160;79;2502;25856
04/03/20;1346;295;1641;1065;2706;443;276;107;3089;29837
05/03/20;1790;351;2141;1155;3296;590;414;148;3858;32362
06/03/20;2394;462;2856;1060;3916;620;523;197;4636;36359
07/03/20;2651;567;3218;1843;5061;1145;589;233;5883;42062
08/03/20;3557;650;4207;2180;6387;1326;622;366;7375;49937
09/03/20;4316;733;5049;2936;7985;1598;724;463;9172;53826
10/03/20;5038;877;5915;2599;8514;529;1004;631;10149;60761
11/03/20;5838;1028;6866;3724;10590;2076;1045;827;12462;73154
12/03/20;6650;1153;7803;5036;12839;2249;1258;1016;15113;86011
13/03/20;7426;1328;8754;6201;14955;2116;1439;1266;17660;97488
14/03/20;8372;1518;9890;7860;17750;2795;1966;1441;21157;109170
15/03/20;9663;1672;11335;9268;20603;2853;2335;1809;24747;124899
16/03/20;11025;1851;12876;10197;23073;2470;2749;2158;27980;137962
17/03/20;12894;2060;14954;11108;26062;2989;2941;2503;31506;148657
18/03/20;14363;2257;16620;12090;28710;2648;4025;2978;35713;165541
19/03/20;15757;2498;18255;14935;33190;4480;4440;3405;41035;182777
20/03/20;16020;2655;18675;19185;37860;4670;5129;4032;47021;206886
21/03/20;17708;2857;20565;22116;42681;4821;6072;4825;53578;233222
22/03/20;19846;3009;22855;23783;46638;3957;7024;5476;59138;258402
23/03/20;20692;3204;23896;26522;50418;3780;7432;6077;63927;275468
24/03/20;21937;3396;25333;28697;54030;3612;8326;6820;69176;296964
25/03/20;23112;3489;26601;30920;57521;3491;9362;7503;74386;324445
26/03/20;24753;3612;28365;33648;62013;4492;10361;8165;80539;361060
27/03/20;26029;3732;29761;36653;66414;4401;10950;9134;86498;394079
28/03/20;26676;3856;30532;39533;70065;3651;12384;10023;92472;429526
29/03/20;27386;3906;31292;42588;73880;3815;13030;10779;97689;454030
30/03/20;27795;3981;31776;43752;75528;1648;14620;11591;101739;477359
31/03/20;28192;4023;32215;45420;77635;2107;15729;12428;105792;506968
01/04/20;28403;4035;32438;48134;80572;2937;16847;13155;110574;541423
02/04/20;28540;4053;32593;50456;83049;2477;18278;13915;115242;581232
03/04/20;28741;4068;32809;52579;85388;2339;19758;14681;119827;619849
4/4/2020;29010;3994;33004;55270;88274;2886;20996;15362;124632;657224
5/4/2020;28949;3977;32926;58320;91246;2972;21815;15887;128948;691461
6/4/2020;28976;3898;32874;60313;93187;1941;22837;16523;132547;721732
7/4/2020;28718;3792;32510;61557;94067;880;24392;17127;135586;755445
8/4/2020;28485;3693;32178;63084;95262;1195;26491;17669;139422;807125
9/4/2020;28399;3605;32004;64873;96877;1615;28470;18279;143626;853369
10/4/2020;28242;3497;31739;66534;98273;1396;30455;18849;147577;906864
11/4/2020;28144;3381;31525;68744;100269;1996;32534;19468;152271;963473
12/4/2020;27847;3343;31190;71063;102253;1984;34211;19899;156363;1010193
13/4/2020;28023;3260;31283;72333;103616;1363;35435;20465;159516;1046910
14/4/2020;28011;3186;31197;73094;104291;675;37130;21067;162488;1073689
15/4/2020;27643;3079;30722;74696;105418;1127;38092;21645;165155;1117404
16/4/2020;26893;2936;29829;76778;106607;1189;40164;22170;168941;1178403
17/4/2020;25786;2812;28598;78364;106962;355;42727;22745;172434;1244108
18/4/2020;25007;2733;27740;80031;107771;809;44927;23227;175925;1305833
19/4/2020;25033;2635;27668;80589;108257;486;47055;23660;178972;1356541
20/4/2020;24906;2573;27479;80758;108237;-20;48877;24114;181228;1398024
21/4/2020;24134;2471;26605;81104;107709;-528;51600;24648;183957;1450150
22/4/2020;23805;2384;26189;81510;107699;-10;54543;25085;187327;1513251
